ID,Program ,Start Term ,OM400: Princ of Bus'n Analytics,QA400: Applied Bus'n Stats,IS505: Python for Bus'n Analytics,IS510: Data-bases for Bus'n Analytics,OM500®: Bus'n Model Optimiz'n,QA500®: Bus'n Fore-casting & Predictive Analysis,IS540: Bus'n Analytics & Big Data Mgmt,MK400 (pre-req for MK520/ 580/590),MK520® (Mktg Res; Pre-req for MK590),MK580: Multi-variate Data Anal. for Dec Mkg,MK585: Contemp Topics in Mktg,or,MK590: Experi-mental Res in Mktg,IS520: Proj Mgmt,IS550: Bus'n Analytics & Big Data Mgmt,MA417: Applied Stats,MA418: Topis in Applied Stats,MA401: Intro to Applied Math,MA451: Probability,FI540: Invmt Analysis (pre-req for FI545/ FI580/ FI595),FI545: P'folio Mgmt,FI580: Fin'l Risk Mgmt,NS602: Healthcare Econ & Mktg,NS605: Advanced Healthcare Policy,NS614: IT for Healthcare Improvemt,MK500: Cust'r Value,MK510: Cust'r Behav,MK535: Building Brand Equity,MK540: Adv'g Mgmt,MG503: Legal/  Ethical Envir of Bus'n,MG500: Leader-ship,MG540: Cross-Cultural Mgmt,IS500: Info Sys & DB Mgmt,AC500: Acctg for Dec-Mkg,FI400: Princ of FI,FI500: S/H Value,FI530: Corp Fin,FI560: Global Fin'l Mkts & Inst,FI565: Deriv Secur,FI575: Cap'l Budgtg,MG503: Legal & Ethical Environ of Bus'n,MG504: Manag'g People for Comp. Adv.,AC400,AC500: AC Info for Dec Mkg,TX540: SALT
00182088,MSBA,FA'16,IS550 Substitution - Sp17,Fa16,Fa17,Fa17,Fa16,Fa16,Sp18,(w),Sp17,,Sp17,,,,,,,,,,,,,,,,Fa17,,,,,,,,,,,,,,,,,,
00135140,MSBA,SP'16,Fa16,Fa15,Fa17,IS585 (Sp16),Fa16,Fa15,Sp17,,,,,,,,Sp17,,,,,,,,,,,,,,,,,,,,Su16,Su17,,,,,,,,,
00179050,MSBA,FA'16,Fa16,Fa16,IS598 (Sp17),IS585 (Sp17),Fa16,Fa16,Sp17,(w),,Su17,,,,,Sp17,,,,,,,,,,,,,,,,,,,Fa17,,,,,,,,,,,
00164436,MSBA,SP'16,Fa17,Fa16,Fa17,IS585 (Sp16),Sp18,Fa16,Sp18,(w),Sp17,Su17,Sp17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00126484,MSBA,FA'18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00202016,MSBA,"FA,17",Fa17,Fa17,Fa18,Fa17,Fa18,Sp18,Sp19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su18,Fa18,
00178935,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,,,,,,,,,Fa18,MA436 - Sp19 (extra),Fa18,,,,,,,,,,,,,,,,,,,,,,,,,,,
00117615,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,,,Su18,Sp18,,,,Su18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00202473,MSBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09980789,MSBA,FA'16,,Fa16,,,,Fa16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230168,MSBA,FA'16,IS520  (Fa15),Fa15,Fa17,Fa17,Fa16,Fa16,Sp18,(w),Sp17,,Sp17,,,,,,,,,,,,,,,,,Wi18,,,,,,,,,,,,,,,,,
00178536,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Fa18,Sp18,Sp18,,,,,,,,Fa18 - via Indep Study,MA452 - Fa18,Sp18,MA436 - Sp19 (extra),,,,,,,,,,,,,,,,,,,,,,,,,,,
09890253,MSBA,FA'17,Su19,Fa17,,,Fa19,Fa18,Sp20,,Sp18,Su18,Sp19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00118472,MSBA,FA'16,Fa17,Fa16,Fa17,IS585 (Fa16),Sp18,Fa16,Sp18,(w),Sp17,Su18,Sp17,,,,,,,,,,,,,,,Sp17,,,,Sp18,,,,,,,,,,,,Fa17,,,
00202515,MSBA,FA'18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00190958,MSBA,FA'17,Fa17,Fa17,Fa18,Sp19,Sp18,Sp18,Sp19,,,,,,,,,,,,,,,,,,,1 elect Su/Fa 19,,,,1 elect Wi/Sp 20,,,,,,,Sp17,,,,,,,,
00159339,MSBA,W'16,Fa16,Fa17,IS520  (Sp17),IS585 (Sp16),Fa16,Sp18,Sp19,,,,,,,,,,,,,,,,,,,,,,Wi16,,Wi17,Su17,,,,,,,,,,,,,
00200283,MSBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00179351,MSBA,FA'16,Fa17,Fa16,Fa17,Fa17,Sp18,Fa16,Sp18,,,,,,,Sp18,,,,,,Sp17,,,,,,,,,,,,,,,,,Sp17,Su17,,,,,,,
00179088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00201128,MSBA,Sp18,,,,,,,,,Sp18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00090657,MSBA,FA'17,Su18,Fa17,Fa18,Sp19,Fa18,Sp18,Sp19,,,,,,,,Su19,,,,,Fa17,,,,,,(Elective TBD - 2019),,,,,,,,,,,,,,,,,,,
00178794,MSBA,FA'16,Fa16,Fa16,Fa17,IS585 (Fa16),IS598 (Fa17),Fa16,Sp17,,,,,,,,Sp17,,,,,,,,,,,,,,,,,,,,,,Sp17,,Fa17,,,,,,
00119636,MSBA,FA'16,Fa17,Fa16,Fa17,IS585 (Fa16),Sp18,Fa16,Sp19,,,,,,,Sp17,,,,,,,,,,,,Sp17,,Sp18,,Sp18,,,,,,,,,,Sp17,,,,Fa17,
00179350,MSBA,FA'16,Fa16,Fa16,Fa17,IS550 (Sp17),Fa16,Fa16,Sp18,,,,,,,,,,,,,,,,,,,,,,,,,,Sp17,,,,Sp17,,,,T,,,,
00161446,MSBA,SP'16,(w) --> IS520 Sp18,(w) --> MA435 Sp18,(W) --> IS550 Sp17,IS585 (Sp16),Fa16,Fa15,Sp17,,,,,,,,,,,,,Fa17,,,,,,,,,,,,,,,Su17,,,,,,,,,,
00202006,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,,,,,,,Sp18,Su18,,,(TBD-Fa18),,,,,,,,,,,,,,,,,,,,,,,,,,,
00201633,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,,,,,,,,(maybe - Su18),,,,,,,,Su18,Su18,Su18,,,,,,,,,,,,,,,,,,,,
00126044,MSBA,SP'16,Fa16,Fa15,Fa17,IS585 (Sp16),Fa16,Fa16,Sp17,(w),Sp16,Su17,Sp18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00120164,MSBA,FA'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,,,,,,,,,,,,,Fa18,Sp18,Su18,,,,,,,,,,,,,,,,,,,,,,,
00161200,MSBA,FA'16,Fa16,Fa16,Fa17,Fa17,Fa16,Fa16,Sp17,(w),Sp17,,,,,,Sp17,,,,,,,,,,,,,,,,,,,,Su17,,,,,,,,,,
00090751,MSBA,FA'16,Su15,Sp12,Fa17,IS585 (Fa16),Fa16,Fa16,Sp17,,,,,,,Sp17,,,,,,,,,,,,,Fa17,,,,,,,,,,,,,,,Fa17,,,Sp18
00200280,MSBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00090428,MSBA,FA'16,Fa16,Fa16,Fa17,IS585 (Fa16),Sp18,Sp18,Sp18,(w),Sp17,Su17,Sp17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00181475,MSBA,SP'17,Fa17,Fa17,Fa17,Fa17,Sp18,Sp18,Sp18,(w),Sp17,,Sp17,,,Sp17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09833342,MSBA,FA'15,(w),Fa16,IS585B (Su16),IS585 (Sp16),Fa15,Fa16,Sp17,Su16,Sp16,,,,,,Sp17,,,,,,,,,,,Fa17,Fa17,,,,,,,,,,,,,,,,,,
00177462,MSBA,FA'16,(w),Fa16,Fa17,IS585 (Fa16),Fa16,Fa16,Sp17,,,,,,,,Sp17,,,,,,,,,,,,,,,,,,,,,Fa17,Sp17,,Fa17,,,,,,
00179157,MSBA,FA'16,Fa17,Fa16,Fa17,IS585 (Fa16),Sp18,Fa16,Sp18,(w),Sp17,,Sp17,,,,,,,,,,,,,,,Sp17,,,,,,,,,,,,,,,,Fa17,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09977064,BA Cert,FA'17,Fa17,Fa17,N/A,Sp19,N/A,Sp18,Sp19,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A
00202881,BA Cert,FA'17,Fa17,Fa17,N/A,Fa17,N/A,Sp18,Sp18,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A
